web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,PublishedDate,Parking,Description
"1594179498-1480","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.900,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/jose-pedro-alessandrirodrigo-de-arayanuevo-los-alerces/3614085","Ñuñoa, Jose Pedro Alessandri/Rodrigo de Araya/Nuevo Los Alerces","100 m²","4.900,00 UF","4","2","29/06/2020","No","Procasa Araneda & Aguiar (COD. 45222) - Amplio y cómodo departamento en piso bajo de 4 dormitorios y 2 baños, sin vecinos a los lados, cuenta con luminoso living-comedor juntos y cocina independiente con loggia. Se vende con 1 estacionamiento en superficie. Ubicado en un tercer piso con orientación al Nor-Oriente y con excelente conectividad por la avenida Jose Pedro Alessandri, cercano al Metro Estadio Nacional (Línea 6) y con locomoción a la puerta. Sector con colegios, comercio, bancos, restaurantes. GG/CC: $75,000. Contribuciones $ 50.000. IDEAL PARA FAMILIAS!"
"1594179461-1469","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","5.573,01
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/suarez-mujica/3623828","160.000.000 CLP","100 m²","100 m²","3","2","07/07/2020","2","Se vende amplio y acogedor departamento con linda vista despejada  sur oriente.
Cuenta con 3 dormitorios, home oficce,  living comedor con salida a amplia terraza de 1.25 x 5.40 mts con ventanal
Cocina tradicional con logia y lavadora.
Cuenta con termopanel
2 estacionamientos y bodega
contribuciones 110.000 gastos comunes 75.000



El edificio cuenta con:


Sala multiuso
Gimnasio
Sala de estudio
Sala de niños piscina
Sala de juego
Serguridad 24/7, acceso controlado con control remoto.
Acceso peatonal con clave
Año de construcción 2015."
"1594179484-1476","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.931,43
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/avenida-sucre/3553641","199.000.000 CLP","102 m²","96 m²","3","2","30/04/2020","1","A pasos del Hospital de Carabineros
Lindas vistas, departamento en una zona residencial de Ñuñoa, con buena conectividad.
Edificio de la Constructora ""Almagro""
Piso: 12
Orientación Nor/oriente
Hall de entrada
3 dormitorios
2 baños
El dormitorio principal en suite
Living - comedor juntos con piso flotante y salida a terraza.
Cocina equipada
Todas las ventanas con termopanel
Calefacción por loza radiante
Logia

1 estacionamiento
1 bodega

El edificio cuenta con:
Piscina
2 Salones de Eventos
Gimnasio
Lavandería
Accesos controlados las 24 hrs.
Cámaras de seguridad

Buena conectividad,a pasos de Antonio Varas y de Manuel Montt.
Al lado del Hospital de Carabineros
En la esquina un Strip Center"
"1594179495-1479","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.005,60
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/socrates-con-pericles/3529772","115.000.000 CLP","100 m²","100 m²","4","2","07/07/2020","1","Se vende amplio departamento de 100 metros muy bien ubicado en Villa Olimpica. 
Cuenta con 4 dormitorios, uno en el primer piso y los otros tres en el segundo piso. 
Living comedor con acceso a balcón,  cocina americana amoblada con cocina a  gas con conexión a lavadora y calefón, 2 baños. 
Muy luminoso y con hermosas terminaciones, recién remodelado está listo para ser habitado. Cuenta con cortinas tipo roller en todas las ventanas. 
Se encuentra en un cuarto piso. 
Gastos comunes de 25.000 no paga contribuciones y cuenta con estacionamiento de uso comunitario.  
a pasos de Unimarc de Villa Olímpica. 
Contactar a Carlos Rivera al fono 946739706 
Vende Su Casa Gestión Inmobiliaria 
Precio Conversable"
"1594179464-1470","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","5.740,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/av-irarrazaval-los-cerezosalcalde-jorge-monckeberg/2364932","Ñuñoa, Av. Irarrazaval / los cerezos/alcalde jorge monckeberg","100 m²","5.740,00 UF","3","2","28/06/2020","No","www.procasa.cl Código:34089 MAURICIO PINO PROPIEDADES VENDE Amplio Departamento con ESTACIONAMIENTO Y BODEGA en excelente sector de Ñuñoa a pasos del Metro Villa Frei, ubicado en un piso 16 con vista norte despejada. Cuenta con 3 dormitorios, principal en suite con terraza, 2 baños, cocina equipada full electrica, separada y con loggia. Living-comedor con terraza. Piso flotante y cerámico. Condominio con piscina, quincho, gimnasio, sala de eventos, estacionamientos de visita, acceso controlado y conserje 24/7. Excelente conectividad a vías principales, locomoción a la puerta, a una cuadra de la estación de Metro Villa Frei. Cercano a colegios, supermercados, farmacias y gran variedad de comercios. Contribuciones $103.000.- Gastos comunes $100.000.-"
"1594179489-1478","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","7.000,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/holanda-esquina-simon-bolivar-nunoa/3915085","Ñuñoa, Holanda esquina Simón Bolívar, Ñuñoa","100 m²","7.000,00 UF","3","2","26/06/2020","No","Vendo VISTA CORDILLERA DESPEJADA FRENTE A UNA PLAZA, sector muy tranquilo


Impecable, recién pintado, piso flotante nuevo, termo panel en todas las ventanas, piso 3


cocina y logia tradicional remodelada con porcelanato en piso y paredes, encimera y horno eléctrico


depto. todo eléctrico,


3 dormitorios 2 baños, 1 estacionamiento y bodega amplia


calefacción loza radiante, Gastos comunes $100.000 base,


Edificio cuenta con jardín, quincho, terraza, piscina, gimnasio, salón de computación muchos estacionamientos de visita.


coordinar visita info@piren.cl o wsp +569 77524648"
"1594179502-1481","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.224,69
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/duble-almeydaeduardo-castillo-velasco/2879951","Ñuñoa, Duble Almeyda/Eduardo Castillo Velasco","100 m²","150.000.000 CLP","3","2","02/07/2020","No","Vendo Hermoso, amplio y cómodo departamento, con una amplia terraza ubicado en un piso 1, cercano a Plaza Ñuñoa. Distribuido en 3 amplios dormitorios con closet, 2 baños y cocina independiente con loggia. Sin Estacionamiento. Cuenta con excelente conectividad, ideal para familia. Cercano a colegio Manuel de Salas, restaurantes, locales comerciales, Mall Plaza Egaña y Portal Ñuñoa. A pasos del metro Chile España, Avenida Irarrázabal y Macul, bancos, supermercados y centro médico. Contribuciones de 90.000 aproximadamente. Incluye bodega. Posibilidad de arrendar un puesto de estacionamiento. NO DEJE DE VISITARLO!!!"
"1594179480-1474","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.301,58
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/suecia-holanda/3742253","Ñuñoa, Suecia/ Holanda","100 m²","180.917.100 CLP","3","2","29/06/2020","No","Departamento en venta en Ñuñoa.

EXCELENTE OPORTUNIDAD en el mejor sector de Ñuñoa cercano a bancos, comercios, colegio, campus oriente UC.

Para visita coordinar con Waleska Baricic, 569 9369 49 50. Mail: waleska@catabrochet.cl



Hall de entrada, 3 dormitorios, 1 en suite con walk in closet, 2 baños, orientación Sur-oriente, ventanas de aluminio, calefacción central, cocina con encimera, horno eléctrico, comedor de diario, logia, balcones cerrados, piso flotante, alarma, circuito cerrado de televisión, año 2009

1 estacionamiento, 1 bodega



El edificio cuenta con: Accesos controlados las 24 horas, piscina, sala multiuso, sala de juegos, lavandería, quincho, gimnasio."
"1594179467-1471","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","5.851,66
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/duble-almeyda/3606934","Ñuñoa, Dublé Almeyda","108 m²","168.000.000 CLP","3","2","28/06/2020","No","Estupendo departamento ubicado en piso 2, sector Duble Almeyda, 90/10 mts. Coordinar visitas con Cata +569 92757915 gerente@catabrochet.cl

Hall de entrada, living y comedor juntos con salida a la terraza, 3 dormitorios (principal en suite), 2 baños, cocina tradicional amoblada, logia, dormitorio y baño de servicio.



Gasto comunes $ 160.000

Contribuciones $ 284.502

1 estacionamiento

1 bodega"
"1594179487-1477","https://chilepropiedades.cl/propiedades/venta/departamento/nunoa/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.965,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/departamento/luminoso-y-amplio-dpto-cercano-a-plaza-nunoa/3760560","Ñuñoa, Luminoso y Amplio  Dpto. Cercano a Plaza Ñuñoa","120 m²","6.965,00 UF","3","3","24/06/2020","No","Luminoso Dpto a pasos de Plaza Ñuñoa



- 3 dormitorios, principal en suite y walk in closet

- 3 baños

- Terraza

- Piso flotante

- Amplia cocina cerrada con comedor de diario y logia

- 4 Dptos. Por piso

- Orientación Oriente

- 2 Estacionamientos

- 1 Bodega



 

El edificio cuenta con:



- Piscina

- Ascensores

- Sala Multiuso con cocina

- Gimnasio

- Areas Verdes

- Juegos para niños.



www.InviertePropiedades.com

Contacto, Reservas y Más Información:

www.inviertepropiedades.com/properties/luminoso-y-amplio-dpto-cercano-a-plaza-nunoa-nunoa-region-metropolitana

Invierte Propiedades Código: 3003

Nombre del Ejecutivo: Nicole Teran

Telefono Ejecutivo: 977795089"
