web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,PublishedDate,Parking,Description
"1594179367-1456","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.694,92
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/rosas-2376/3921677","Santiago, Rosas 2376","204 m²","163.500.000 CLP","5","3","01/07/2020","197 m²","Se vende propiedad, ideal para; culto religioso, eventos, uso comercial y con algunos ajustes para uso habitacional.
Su ubicación es privilegiada a 3 cuadras de, metro cumming, a 1 cuadra de la locomoción, supermercados, colegios y centro de salud cercanos.
La propiedad es de material sólido, cuenta con 1 sala principal, 2 salas auxiliares, 2 baños ( varones y damas), patio de luz, un segundo piso no dormitorio baño y cocina.
Se encuentra en excelente estado lista para uso sin problemas.
La venta es sin comisión, la realiza directamente su dueño, se aceptan ofertas razonables.
Interesados contactar a:
Patricio Rodríguez, +56984163424 patricio.rodriguezm@icloud.com
Elizabeth Muñoz, +56991343955, elisovino@gmail.com"
"1594179337-1446","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.702,22
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/calle-sanchez-fontecilla/3738766","Santiago, Calle Sánchez Fontecilla","200 m²","135.000.000 CLP","3","3","10/05/2020","2","Acogedora casa en sector residencial Sánchez Fontecilla , comuna Puente Alto

 
Características:

3 dormitorios 
3 baños,
cocina amoblada
Living - comedor
Loggia
Estacionamiento

Cerca del Mall Tobalaba , locomoción colectiva colegios,supermercados, centros de salud y servicios de todo tipo.

Vende N&G
Corredora de propiedades
Contáctanos : (+569)59043816"
"1594179356-1452","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.492,89
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/los-sauces-4938/3928305","Santiago, Los Sauces 4938","232 m²","157.700.000 CLP","4","2","06/07/2020","320 m²","Vende excelente propiedad, con acceso para silla de ruedas y lista para su uso, sin problemas, ideal para culto religioso/eventos/uso comercial, con algunos ajustes, para uso habitacional.  La propiedad está ubicada en calle Los Sauces N° 4938, comuna de Quinta Normal, orientación N/S, con 320 m2 de terrero y 232 m2 construidos, en material sólido. Cuenta con 4 dependencias: 1 sala principal; tres salas auxiliares conectadas a sala principal; Hall de acceso, 2 baños (varones y damas), defensas en las ventadas y puertas;  alarma. Ubicación privilegiada, cerca de paradero de locomoción, supermercado, hospital, colegios, farmacia, etc. Venta la realiza directamente su dueño, se aceptan ofertas razonables."
"1594179339-1447","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.754,47
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/mar-infinito/3452704","136.500.000 CLP","150 m²","140 m²","4","3","03/06/2020","2","​EXCELENTE PROPIEDAD EN VENTA. Cumbres Blancas -Pudahuel. Excelente sector, barrio cerrado. Propiedad en excelente estado de conservación, ampliada. Su distribución consta de 2 pisos. En primer nivel cuenta con living - comedor separados, sala de estar, baño de visitas, dormitorio principal en suite, amplia cocina completamente amoblada y equipada con horno eléctrico, encimera y campana. Comedor de diario y loggia. Su segundo nivel consta de 3 dormitorios, un baño, sala de estar y entre-techo habilitado con escalera, luz y piso para uso de bodega. En su exterior consta de un patio trasero y estacionamiento cubierto para 2 vehículos. La casa se ubica en esquina dando un factor de privacidad y mayor espacio exterior. En frente de la casa cuenta con plaza y juegos infantiles. Sector de fácil acceso y cercano a comercio, locomoción y autopistas urbanas."
"1594179330-1444","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.629,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/portugalvictoria/3509039","4.629,00 UF","124 m²","130 m²","6","1","28/06/2020","No","OPORTUNIDAD: CASA ANTIGUA, DESOCUPADA, PARA REMODELAR, CON RECEPCIÓN FINAL, DESTINO USO COMERCIAL, en barrio industrial, comercial y profesional, apta para Oficinas, Bodegas, Empresa y/o Taller, a 2 cuadras de Avda. Matta y Vicuña Mackenna . Próxima a Bancos, Colegios, Comercio, Proyectos inmobiliarios y a 15 Minutos centro de Santiago. Metro Lineas 5 y 6.

Contactar a email eugeniab@vivaqui.com +56 9 73371285/ 222175555, 



DESCRIPCIÓN:: 6 privados buen tamaño, 1 baño, cocina, bodegas, alarma. Habilitada para corriente trifásica, conexiones instaladas para hacer un segundo baño.

Superficie 130 metros aprox. construidos. en 2 pisos. Exenta de Contribuciones.

NO tiene estacionamiento.

ID28245"
"1594179354-1451","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.398,85
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/andes-2099/3321360","3321360","155.000.000 CLP","Santiago, Andes 2099","4","3","08/06/2020","150 m²","Propiedad Casa Esquina en venta con Local Comercial.
150 metros cuadrados construidos.
La propiedad consta de dos pisos.
Dos entradas independientes.
Local Comercial ideal para Minimarket, Servicios, Peluquería, etc.
Cuenta con Rol Comercial y Corriente Trifásica.
Excelente ubicación y conectividad, acceso directo a supermercados, bancos, colegios, restaurant, comercio y servicios.
A pasos de Barrio Brasil y Barrio Yungay.
Cercano a Parque Los Reyes.
Excelente oportunidad para inversionistas o personas que proyecten la construcción de locales comerciales en la zona o viviendas para arriendo habitacional.
La propiedad es ideal para la construcción de locales comerciales en la primera planta y vivienda en el segundo nivel."
"1594179347-1449","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.155,03
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/portalescueto/2703733","148.000.000 CLP","100 m²","93 m²","3","2","28/06/2020","No","ww.procasa.cl Ricardo Vial Ltda. (La Gloria) Un oasis en pleno centro de Santiago Casa en condominio frente al Parque Portales. Casa tipo Townhouse de 3 pisos 1 piso, living comedor, cocina, terraza 2 piso 2 habitaciones, baño 3 piso dormitorio principal, baño y terraza 1 estacionamiento. No tiene gastos comunes Contribuciones 50.000 Colegios San Ignacio, Sagrado Corazón de alameda, Pedro de Valdivia, Supermercado Líder express, sta Isabel, tottus, A pasos del metro unión latinoamericana y Cumming. Ideal para familia"
"1594179359-1453","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.573,01
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/maipu/3920661","160.000.000 CLP","196 m²","136 m²","4","3","01/07/2020","5","Espectacular casa ""Nueva"" de 196 m2 con 136 m2 construidos, El diseño es moderno tipo mediterráneo, cuenta con una gran cocina completa, amplio salón de estar, 3 baños con ducha (1 abajo, 2 arriba), el principal cuenta con Jacuzzi, 4 dormitorios (Uno abajo, 3 arriba), amplios closets, cuenta con un gran patio que podría albergar varios autos y piscina grande. Existe mucha flexibilidad de redefinir el uso de algunos espacios, según las necesidades. Exterior: Un gran patio con harto pasto en un sector y otra parte de patio con cerámicas con cobertizo. Observaciones: La casa se hizo de nuevo el año 2019, se botó entera la casa vieja y se realizó todo de nuevo cumpliendo con todas las normativas y permisos de un proyecto de esta envergadura, está ubicada en un pasaje interior con amplios pasajes sin vista a vecinos, frente a una plaza con gran espacio exterior para estacionar bastantes autos, pasaje antiguo, amplios pasajes, muy tranquilo, a pasos de Avenida Carmen con Portales (La mejor ubicación de transportes en Maipú),a pasos del Templo Votivo, a pasos de la Plaza de Maipú, todos sus papeles y regulaciones al día, se vende por viaje al extranjero."
"1594179277-1428","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.269,63
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/canal-de-la-luz-5023/2673595","180.000.000 CLP","240 m²","140 m²","4","4","16/04/2019","2","Linda y cómoda casa de 3 pisos en La Dehesa de La Viña, ubicada en lugar privilegiado, entorno natural, muchas areas verdes, lejos del ruido de la ciudad y con una gran vista. 
VALOR INDICADO .... CONVERSABLE"
"1594179274-1427","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.269,63
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/pje-el-alcanfor-8626/3747227","180.000.000 CLP","290 m²","180 m²","4","4","15/05/2020","3","Propiedad muy cómoda, amplia, ubicada en muy buen sector de La Florida,  cercana a centros comerciales, supermercados, colegios y áreas verdes.
Consta de living comedor independiente, cocina amoblada y equipada con comedor de diario, baño de visitas, 4 dormitorios, 2 en suite.
Piso flotante y cerámica. Tiene 2 Calefont 
El patio con cerámica y terraza techada.
Estacionamiento techado."
