web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,Description,PriceUnit,WebDesc,PublishedDate
"1594173228-838","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaA pasos de Pedro Fontova, conectividad (PV)Casa - Usado en venta 4  4  129 m² 198 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/a-pasos-de-pedro-fontova-conectividad-pv/1503601?o=resultado_lista_seo_info","UF  5.800","0 m²","129 m²","4","4","EXCELENTE CONECTIVIDAD, CERCA DE SUPERMERCADOS, COLEGIOS, LOCOMOCIÓN.

PRIMER PISO: HALL DE ENTRADA; BAÑO DE VISITAS; COCINA AMOBLADA Y EQUIPADA CON COMEDOR DE DIARIO; LIVING Y COMEDOR SEPARADOS.
SEGUNDO PISO: DORMITORIO PRINCIPAL EN SUITE Y WALK IN CLOSET; DOS DORMITORIOS CON CLOSET; BAÑO COMPLETO.
TERCER PISO: DORMITORIO EN SUITE CON CLOSET; SALA DE ESTAR.

EXTERIOR: JARDIN; TERRAZA TECHADA; ESTACIONAMIENTO PARA DOS AUTOS.","UF  5.800","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","23-06-2020"
"1594173223-836","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaAndacolloCasa - Usado en venta 6  2  110 m² 145 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/andacollo/1498115?o=resultado_lista_seo_info","$  125.000.000","0 m²","110 m²","6","2","Recorrido virtual: https://rem.ax/andacollo6656VTEn venta, amplia y acogedora Casa de 2 piso, en sector Los Libertadores (San Pedro de Atacama). Excelente ubicación y conectividad, a minutos estación de Metro ""Los Libertadores"", cercana a Mall Plaza Norte, áreas verdes, colegios y comercio. Sector cercano a Carretera San Martín, Autopista Vespucio Norte y Carretera 5 norte.Superficie de 145 m2, y 110 m2 construidos, destacada por su muy buena distribución.Primer piso: Entrada con portón eléctrico y estacionamiento para un vehículo, amplio living, cocina completamente equipada con comedor integrado, baño de visita, dos dormitorios, amplio patio con logia, cómodo quincho + horno de barro.Segundo piso: Gran dormitorio principal, tres dormitorios amplios + baño completo.¡Agenda tu visita!","$  125.000.000","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","17-06-2020"
"1594173200-828","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaPROPIEDAD CON PISCINA, MUY BIEN MANTENIDA DENTRO DE CONDOMINIOCasa - Usado en venta 3  3  140 m² 200 m²","https://www.toctoc.com/propiedades/compraparticularsr/casa/huechuraba/propiedad-con-piscina-muy-bien-mantenida-dentro-de-condominio/1480906?o=resultado_lista_seo_info","UF  5.900","140 m²","0 m²","3","3","Confortable propiedad ,emplazada dentro de condominio cuenta con vigilancia 24/7,estacionamiento de visitas ,plaza de juegos,cercana a colegios,supér mercados y locomoción PRIMER PISO:Hall de entrada ,living ,comedor,baño de visita cocina equipada encimera granito,logia techadaSEGUNDO PISO :Dormitorio principal en suite con walk in closset ,dos dormitorios y baño completoTERCER PISO:Amplia sala de estar con muebles empotrados y bodegaEXTERIOR:Estacionamiento para dos vehículos,terraza techada,piscina","UF  5.900","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","16-05-2020"
"1594173172-818","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaGuanaco Norte 1545Casa - Usado en venta 3  3  139 m² 201 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/guanaco-norte-1545/1474176?o=resultado_lista_seo_info","UF  6.500","0 m²","139 m²","3","3","Espectacular casa de tres pisos de 139 / 201 m2 aproximados. A pasos de las dos Avenidas principales de Huechuraba. Modernizada de muy buen gusto, dentro de condominio con seguridad las 24 horas. Cercana a colegios, supermercados y paraderos.

Primer piso: Living comedor separados, cocina equipada y modernizada, baño de visita totalmente renovado, logia cerrada, terraza, quincho y piscina.

Segundo piso: Dormitorio en suite con baño modernizado,dos dormitorios de niño con su baño.

Tercer piso: Gran sala de estar con la posibilidad de realizar un cuarto dormitorio.
Estacionamiento techado.

Agendar visita: ventashuechuaba@avsa.cl","UF  6.500","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","06-05-2020"
"1594173192-825","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaCalle Camino del Roble N° 1790 casa 13, HuechurabaCasa - Usado en venta 4  3  128 m² 169 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/calle-camino-del-roble-n-1790-casa-13-huechuraba/1427576?o=resultado_lista_seo_info","UF  5.833","0 m²","128 m²","4","3","Casa de liquidación bancaria mas antecedentes llamar a Juan Luis Izquierdo al +569 92185805","UF  5.833","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","11-05-2020"
"1594173183-822","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaExcelente Casa Gran Conectividad!! OACasa - Usado en venta 4  3  112 m² 220 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/excelente-casa-gran-conectividad-oa/1476306?o=resultado_lista_seo_info","UF  6.150","0 m²","112 m²","4","3","Excelente Casa dentro de condominio. Gran conectividad a pasos de vías principales, cercana a colegio, comercio y servicios.

1er piso: Hall de distribución; Living comedor; Bodega; Baño de visita; Home office o dormitorio; Cocina amoblada y equipada; gran logia techada y cerrada.
2do piso; Dormitorio principal en suite con walk in closet; Dos dormitorios con closet; baño completo.

Exteriores: Gran terraza techada con quincho; estacionamiento descubierto para tres vehiculos.","UF  6.150","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","09-05-2020"
"1594173221-835","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaCalle De La Viña esquina ManantialCasa - Usado en venta 4  3  140 m² 225 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/calle-de-la-vina-esquina-manantial/1496606?o=resultado_lista_seo_info","UF  6.390","0 m²","140 m²","4","3","casa 140 m2 , en muy buen estado, construcción sólida en primer y segundo piso, termopanel en todas las ventanas. Terreno 225 m2.
Primer piso: hall acceso, living y comedor separados, dormitorio principal con walking closet, baño, cocina equipada, baño de visitas, terraza y Logia.
Segundo piso: 3 dormitorios grandes, un baño y sala de estar.
Gasto común $70.000
Estacionamiento para 2 vehículos.
Porton automatico
Cerco Eléctrico
Seguridad 24/7
Cercana a Supermercados Tottus, Lider, Unimarc y Santa Isabel
Barrio residencial
Cercana a los principales colegios","UF  6.390","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","14-06-2020"
"1594173204-830","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaSanta Marta de Huechuraba/Guanaco NorteCasa - Usado en venta 5  3  120 m² 70 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/santa-marta-de-huechuraba-guanaco-norte/1486679?o=resultado_lista_seo_info","UF  5.500","0 m²","120 m²","5","3","PROCASA CENTRO SANTIAGO (C.A) VENDE casa de 3 pisos, en condominio, cercano a colegios, supermercados, Mall Plaza Norte, Farmacias, Jardines infantiles, accesos a autopistas, a minutos de Metro.    Living comedor separados, 5 dormitorios, 3 baños. Tercer piso puede modificar y dejar como planta libre.  Aire acondicionado    Espacios de Áreas verdes, juegos infantiles, Piscinas, estacionamiento para visitas.    Accesos controlados 24 horas.    ¡¡ AYUDAMOS A GESTIONAR TU CRÉDITO HIPOTECARIO!!    COD: 46869","UF  5.500","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","27-05-2020"
"1594173175-819","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaSanta marta de huechuraba 6455 Casa79 el portal, HuechurabaCasa - Usado en venta 4  4  120 m² 280 m²","https://www.toctoc.com/propiedades/compraparticularsr/casa/huechuraba/santa-marta-de-huechuraba-6455-casa79-el-portal-huechuraba/1474697?o=resultado_lista_seo_info","UF  6.700","120 m²","0 m²","4","4","Casa de tres pisos remodelada ubicada dentro de condominio, seguridad las 24 hrs(puertas de huechuraba).Primer pisoliving y comedor separados, cocina, comedor diario, baño de visita, lavandería + baño, terraza, piscinaSegundo pisodormitorio matrimonial+ baño + walking closet, dormitorio niño Tercer piso2 dormitorios de niños + bañoGastos comunes$ 90.000 aprox.+56 992676345Rodrigo ibarra ( dueño)","UF  6.700","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","07-05-2020"
"1594173245-843","https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaLas golondrinas 6843, HuechurabaCasa - Usado en venta 4  3  133 m² 198 m²","https://www.toctoc.com/propiedades/compraparticularsr/casa/huechuraba/las-golondrinas-6843-huechuraba/1510295?o=resultado_lista_seo_info","UF  4.350","133 m²","0 m²","4","3","Casa esquina de 2 plantas independientes, ideal para invertir, ambas con entradas de vehículos, baños y cocinas amuebladas; a pocas cuadras del metro Los Libertadores, cercana del Mall Plaza Norte y frente a la autopista Los Libertadores. El primer piso posee una sala de estar, 3 dormitorios (2 de ellos tienen aire acondicionado), dos baños, cocina  y  bodegas, además de caseta de 2 gases 45kilos y caseta para basureros. El segundo piso posee 1 baño, 1 cocina, una bodega, una espaciosa sala de estar y un dormitorio grande con aire acondicionado (ideal para ser dividido); escalera independiente con salida a calle.La propiedad tiene un antejardin con pasto y un árbol frutal; el patio trasero cuenta con cerámica completa.Ubicada en un sector muy tranquilo,  frente a plaza y a pasos de locomoción colectiva.","UF  4.350","Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación","04-07-2020"
