web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,Description,PriceUnit,WebDesc,PublishedDate
"1594173041-786","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaPedro FontovaDepartamento - Usado en venta 3  3  115 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/1373751?o=resultado_lista_seo_info","UF  5.200","115 m²","115 m²","3","3","Â¡Â¡Excelente!! Departamento muy iluminado, ubicado en el mejor sector de Huechuraba, cercano a colegios, supermercados, farmacias, centros comerciales y a pasos de locomoción publica. Edificio cuenta con piscina, quinchos, cancha de tenis y gimnasio. Descripción: Amplios living y comedor juntos con piso flotante, cocina equipada, dormitorio principal en suite, 2 dormitorios con baño completo compartido, dos terrazas. Incluye Un estacionamiento y dos bodegas. Metrajes Aproximado.","UF  5.200","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","06-12-2019"
"1594173091-805","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaRinconada el Salto 935 piso 13, HuechurabaDepartamento - Usado en venta 3  3  100 m² 25 m²","https://www.toctoc.com/propiedades/compraparticularsr/departamento/huechuraba/rinconada-el-salto-935-piso-13-huechuraba/1410173?o=resultado_lista_seo_info","UF  6.000","0 m²","100 m²","3","3","LINDO DEPARTAMENTO CON PRECIOSA VISTA- PISO 13SIN CORREDOR - AHORRO DE $ 3.000.000.- EN COMISIÓNDEPARTAMENTO DE 3 DORMITORIOS ( 2 en suite) 100 M2 aprox.2 ESTACIONAMIENTOS subterráneos1 gran bodega con repisas Piso 13, vista al Ciudad Empresarial Amplia terraza ( 25 m2) aprox.Calefacción  por radiadores en cada zona.Piso flotante en todo el departamentoORIENTACIÓN NOR-PONIENTEEl Condominio esta rodeado de bosques, jardines con senderos para caminar iluminados, varios quinchos , piscinas y juegos para niños Vale la pena verlo!!Disponibilidad 60 días (actualmente arrendado)","UF  6.000","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","20-05-2020"
"1594173077-799","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaBosques de la PirámideDepartamento - Usado en venta 3  3  112 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/bosques-de-la-piramide/1459836?o=resultado_lista_seo_info","UF  6.450","112 m²","100 m²","3","3","Hermoso departamento con una vista espectacular a Bosques Paperchease condominio con excelente seguridad y entretenidas áreas verdes con senderos y 8 piscinas para disfrutar en familia.

Hall entrada, living comedor, 3 dormitorios, 3 baños, y cocina equipada con comedor de diario.

Cuenta con 1 estacionamiento y 1 bodega.
Edificio con Sala de Eventos, Gimnasio y conserjería individual.","UF  6.450","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","05-05-2020"
"1594173084-802","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaLINDO DEPARTAMENTO CASI NUEVO , BOSQUES DE LA PIRÁMIDE llamar al 953565515Departamento - Usado en venta 3  2  120 m² 12 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/lindo-departamento-casi-nuevo-bosques-de-la-piramide-llamar-al-953565515/1479311?o=resultado_lista_seo_info","UF  6.750","469 m²","120 m²","3","2","LINDO DEPARTAMENTO , EXCELENTE VIDTA 3 DOR, DOS BAÑOS , ESTACIONAMIENTO Y BODEGA
llamar al 953565515","UF  6.750","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","13-05-2020"
"1594173056-792","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaPedro FontovaDepartamento - Usado en venta 3  2  115 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/1427317?o=resultado_lista_seo_info","UF  5.468","115 m²","110 m²","3","2","Departamento en excelente estado, con orientación norponiente, amplio living comedor con  terraza con hermosa vista despejada. Cocina separada en excelente estado con encimera a gas de 04 platos,área de loggia grande se conecta con dormitorio numero 3 con baño y closet. Dormitorio 2 con amplio closet,  baño común a estos. Dormitorio suite con área de walking closet y terraza y baño.  Calefacción por radiador, G.C aprox 130.000. Condominio de tres torres,  con áreas comunes, piscina, cancha de usos múltiples y quincho.  Excelente conectividad a vespucio norte y estación los libertadores. A minutos y excelente ubicación de colegios Linconl, Grace y boston college. Virginia Garcia 966283093","UF  5.468","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","21-02-2020"
"1594173112-812","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaRinconada El SaltoDepartamento - Usado en venta 3  3  115 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/rinconada-el-salto/1453308?o=resultado_lista_seo_info","UF  6.150","115 m²","108 m²","3","3","Amplio departamento en Condominio Bosques de la Pirámide.¡¡¡Bajó su valor de venta!!! ¡Oportunidad!A pasos de Ciudad Empresarial, oficinas, bancos, restaurantes, supermercados, farmacias, gimnasios y todo tipo de comercio en centro empresarial de El Salto.Excelente y directa conexión con eje Vespucio Norte, Túnel San Cristóbal y Autopista Costanera al oriente y poniente de Santiago. A sólo minutos de Vitacura y Providencia por autopista.El edificio cuenta con piscinas al aire libre, quincho, sala de eventos.Living comedor con salida a terraza.Dormitorio principal en suite con amplios closets.2 dormitorios que comparten un baño completo.Segundo dormitorio en suite que puede usarse como dormitorio de servicio.Cocina cerrada full equipada con: encimera, horno y campana.Logia con lavadero y conexiones para lavadora y secadora.Características:Departamento en 11avo piso, edificio del año: 2008.Amplia terraza.Ventanas de termopanel.Piso flotante en todo el departamento.Cortinas roller.Citófono.Calefacción con medidor individual.Estacionamiento y bodega.Acceso controlado, conserje 24 horas.Estacionamientos de visitas.Gastos comunes $130.000 app.Contribuciones trimestrales $160.000 app.","UF  6.150","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","04-07-2020"
"1594173046-788","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaHuechuraba - Santa MartaDepartamento - Usado en venta 4  3  140 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/huechuraba-santa-marta/1373833?o=resultado_lista_seo_info","$  130.000.000","140 m²","140 m²","4","3","Departamento en conjunto cerrado con seguridad y acceso controlado las 14 horas. Excelente estado. Cercano a colegios, supermercados y comercios. Distribución: Hall de entrada, amplio living comedor juntos con piso flotante y salida a terraza. Cómoda cocina amoblada equipada con encimera, horno empotrado y campana. Dormitorio principal en suite, segundo dormitorio en suite y dos dormitorios adicionales con un baño. Estacionamiento subterráneo y Bodega. El condominio cuenta con: piscina, gimnasio , quincho, salón de eventos y lavandería. Metrajes aproximados.","$  130.000.000","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","06-12-2019"
"1594173089-804","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaAmplio Departamento en Venta. Con Jardín PrivadoDepartamento - Usado en venta 3  2  100 m² 130 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/amplio-departamento-en-venta-con-jardin-privado/1481206?o=resultado_lista_seo_info","UF  5.300","100 m²","100 m²","3","2","Precioso y amplio departamento en Venta. Con Jardín privado
3 habitaciones
Principal en suite
2 baños
Cocina independiente con logia cerrada.
Living comedor que dan paso a linda y amplia terraza con jardin privado.
100 mts2 útiles
130 mts2 totales
Dentro de moderno condominio que cuenta con: Gimnasio, quincho, salón de eventos, piscina, jardines con juegos infantiles, conserjería, vigilancia 24/7 y estacionamiento de visitas","UF  5.300","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","17-05-2020"
"1594173095-806","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaRinconada del Salto- Ciudad Empresarial/Avenida del Parque - HuechurabaDepartamento - Usado en venta 3  2  102 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/rinconada-del-salto-ciudad-empresarial-avenida-del-parque-huechuraba/1483827?o=resultado_lista_seo_info","UF  5.900","0 m²","102 m²","3","2","HURTADO PROPIEDADES VENDE Acogedor DEPARTAMENTO en un tranquilo y agradable barrio residencial de la comuna de Huechuraba. Con linda vista y muy cercano a cerros, plazas y parques del sector. Muy cerca de la autopista de Américo Vespucio lo que provee gran conectividad con transporte público y con las principales avenidas y otras autopistas urbanas.    DESCRIPCIÓN: El Departamento está ubicado en el segundo piso de un sólido edificio bastante nuevo; Tiene 90 metros cuadrados útiles con piso flotante, además cuenta con cerca de doce (12) metros cuadrados de terraza. Posee living y comedor juntos, con salida a terraza que tiene una muy linda vista al parque y la piscina del condominio. Cuenta con 3 dormitorios de buen tamaño, uno en suite, con varios closets y baño completo incluido; Los otros dos dormitorios comparten un baño completo y buenos closets. Cómoda y amplia cocina equipada, con logia para lavado y secado de ropa.    CONDOMINIO: El Edificio cuenta con variadas y excelentes prestaciones para los residentes, que incluyen: Sala de Cine, Sala de Reuniones, Gimnasio, Piscina, Quincho, Terrazas y acceso exclusivo a senderos del cerro colindante. Muy apto para familias de profesionales jóvenes con hijos que quieran disfrutar en familia de las bondades de vivir en un entorno inserto en la naturaleza, pero a 10 minutos de la Comuna de Providencia y con conectividad inmediata a las principales comunas del sector oriente de Santiago.     OTROS: Gran relación precio-calidad-ubicación. Las superficies y especificaciones fueron proporcionadas por los propietarios y están sujetas a confirmación. Disponibilidad: INMEDIATA! No deje de visitar!!!","UF  5.900","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","22-05-2020"
"1594173058-793","https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","HuechurabaPEDRO FONTOVADepartamento - Usado en venta 3  3  144 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/935219?o=resultado_lista_seo_info","UF  6.800","144 m²","139 m²","3","3","Excelente departamento con linda vista rodeado de naturaleza, son dos departamentos por piso,  Amplio hall de entrada,  tres dormitorios; dos en suite, dos terrazas, cocina con comedor de diario ,  dos estacionamientos y una amplia bodega.","UF  6.800","Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación","16-03-2020"
