web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate
"1594168311-158","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/MLC-524432128-casa-en-venta-chicureo-centro-_JM#position=17&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Colina (chicureo): Chicureo Centro, Santiago","6.900","380 m²","152 m²","4","4","3","Descripción
			
			
			
	

	

	
	
		FPV3797  Acogedora Casa en Condominio con seguridad las 24 horas, excelente conectividad a pasos de centros comerciales, colegios y autopistas.     DISTRIBUCIÓN:  Primer Piso : Hall de acceso , Living  comedor juntos con piso flotante, baño de Visita . Cocina Amoblada y equipada , con comedor de diario. Dormitorio y baño de servicio.    DORMITORIOS: 1er piso:  dormitorio de niño y amplio dormitorio principal en suite. Salida al jardín. 2do Piso : amplia Sala de estar, bodega, dos dormitorios con closet, ,mas baño completo.   EXTERIOR: Jardín , formado , terraza techada , riego automático , juegos infantiles. Estacionamiento para dos autos.    Coordinar visitas con Paula Varela cel: 997464126","UF","Santiago","Casas","Propiedades usadas","23-04-2020"
"1594168278-142","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.969","https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5685878-metro-santa-ana-y-cumming-uda#position=33&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Metro Santa Ana Y Cumming, Barrio Brasil, Santiago","6.969","100 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Depto Barrio Brasil
Incluye Bodega con estantería hecha a medida de gran altura y estacionamiento subterra

Con todos los servicios a la puerta, supermercados, Metro Santa Ana y Cumming a menos de 3 cuadras cada uno. Plaza Brasil, los mejores colegios del Centro a pocas cuadras y la mejor conectividad. 
Servicios asistenciales a pocas cuadras privados y públicos. 

ORIENTACIÓN: Poniente
- 3 Dormitorios
- 2 Baños, uno en Suite. Ambos baños completamente renovados.
- Logia en cocina
- Cocina Separada con todo nuevo, muebles, despensa, encimera y horno empotrado.
- Piso cerámica en living comedor ampliado, sin terraza. Dormitorios piso flotante completamente renovados hace 1 año.
- Closet en todas las habitaciones y walking closet habitación principal.","UF","Santiago","...","Propiedades usadas","5685878"
"1594168284-145","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 127.000.000","https://www.portalinmobiliario.com/MLC-523323622-casa-en-venta-paradero-20-_JM#position=30&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","La Florida: Paradero 20, Santiago","127.000.000","160 m²","112 m²","4","4","2","Descripción
			
			
			
	

	

	
	
		Casa de esquina con excelente ubicación y conectividad, emplazada en tranquilo sector residencial de La Florida. Cuenta con 4 dormitorios,; principal en primer piso, con baño en suite y walking closet.  En la planta superior tiene 3 dormitorios y una oficina, más un baño completo.  Cuenta con living comedor, juntos, cocina amoblada y equipada; comedor de diario y despensa. Patio con quincho, bodega y entrada lateral para 2 vehículos. Entrada con jardín formado y estacionamiento para 1 vehículo. A 3 cuadras de Avenida La Florida, cercano a supermercados, colegios; bancos y comercio.  Oportunidad!! No deje de Visitar!! Nicole Medina: 942536928","$","Santiago","Casas","Propiedades usadas","06-04-2020"
"1594168317-161","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.622","https://www.portalinmobiliario.com/MLC-524432877-casa-en-venta-metro-rondizzoni-_JM#position=14&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Santiago: Metro Rondizzoni, Parque O'higgins, Santiago","6.622","163 m²","166 m²","5","5","2","Descripción
			
			
			
	

	

	
	
		General Rondizzoni / Club Hipico, hermosa casa Patrimonial 163/144 M2, barrio residencial, patrimonio cultural,.   1er piso= living comedor separados, baño de visita, cocina cerrada, patio techado remodelado, lavadero, bodega, piso cerámica.   Cuenta con amplio departamento interior independiente, living comedor, 1 dormitorio, baño, cocina cerrada.   2do piso= 2 amplios dormitorios, 1 baño.","UF","Santiago","...","...","23-04-2020"
"1594168330-167","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 125.000.000","https://www.portalinmobiliario.com/MLC-525806304-casa-en-venta-av-jose-arrieta-_JM#position=8&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Peñalolén: Av José Arrieta, Santiago","125.000.000","200 m²","70 m²","3","3","1","Descripción
			
			
			
	

	

	
	
		Sector Arrieta frente a colegio y Homecenter casa año 1987 en pasaje abierto. 3 dormitorios, 1 baño. Cocina amplia. Terraza y jardín formado. Plaza con juegos para niños. Cerca de supermercado, colegios, locomoción. Buena conectividad.","$","Santiago","Casas","Propiedades usadas","07-05-2020"
"1594168336-170","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 173.990.000","https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5609345-av-general-gana-metro-nuble-uda#position=5&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Av. General Gana, Metro Ñuble, Bogotá - Sierra Bella, Santiago","173.990.000","220 m²","220 m²","4","2","1","Descripción
			
			
			
	

	

	
	
		CASA EN BARRIO ANTIGUO RESIDENCIAL
METRO ÑUBLE

Casa ubicada en barrio residencial , en Barrio Antiguo , a cuadras de metro Ñuble.
 Excelente conectividad , locomoción a domicilio , Farmacias , Supermercados Centros dentales , almacenes , Centros médicos , etc 
Cuenta con 4 Habitaciones , 2 Baños , cocina , living comedor , amplio patio trasero 
Sin Pago contribuciones 
VENDE VIP HOUSE PROPIEDADES","$","Santiago","...","...","5609345"
"1594168332-168","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 150.000.000","https://www.portalinmobiliario.com/MLC-525806417-casa-en-venta-julio-cesar-_JM#position=7&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","La Florida: Julio Cesar, Santiago","150.000.000","180 m²","100 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Casa segurisima de dos pisos con acceso controlado en pasaje cerrado en buenas condiciones, sector con muy buena locomoción paradero 19 de Avenida la florida, cuenta con cocina ampliada y regularizada","$","Santiago","Casas","Propiedades usadas","07-05-2020"
"1594168319-162","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 4.900","https://www.portalinmobiliario.com/MLC-524432903-casa-en-venta-metro-zapadores-_JM#position=13&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Recoleta: Metro Zapadores, Santiago","4.900","175 m²","131 m²","4","4","2","Descripción
			
			
			
	

	

	
	
		Avda. Recoleta/ Zapadores, a 5 casas del Metro Zapadores y cercana a Metro Dorsal de 2 pisos, 131 m2 útiles y 175 m2 terreno, 4 dormitorios, 2 baños, cocina tradicional, living comedor separados, patio, bodega, estacionamiento, propiedad en microbarrio, acceso controlados por dueños, plaza interior, áreas verdes, servicios, colegios, supermercados,    Piso 1:  dormitorio, baño, cocina tradicional amoblada, loggia, living comedor separados, antejardín, patio, bodega,  estacionamiento 2 vehículos.   Piso 2: 3 dormitorios, baño, terraza.","UF","Santiago","Casas","Propiedades usadas","23-04-2020"
"1594168303-154","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.490","https://www.portalinmobiliario.com/MLC-524330649-casa-en-venta-ciudad-de-los-valles-_JM#position=21&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Pudahuel: Ciudad De Los Valles, Santiago","6.490","357 m²","142 m²","4","4","3","Descripción
			
			
			
	

	

	
	
		Excelente Propiedad de 2 pisos, en Av. Principal, distribuida en: 1° Piso: Hall de entrada, living comedor, cocina independiente con comedor de diario, campana, horno, encimera, despensero, muebles empotrados, logia independiente. 1 Dormitorio principal con baño en suite y walk in closet (Acceso a patio), baño de visita. 2°Piso: 3 dormitorios con closets, sala de estar o estudio, baño completo. La Propiedad cuenta con: terraza, quincho, piscina, estacionamiento para 4 vehículos, contribuciones aprox de $91.000/  NO paga gasto común, jardín formado, terreno de  356,61mt2, construcción de 142mt2 total, ampliación de 13,06 regularizada (cocina).  Intersecciones: Av. Las Flores/ Miradores  Cód Interno FRF2310/  Contacto: Franciska Garrido +569 64409770","UF","Santiago","Casas","Propiedades usadas","21-04-2020"
"1594168309-157","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.190","https://www.portalinmobiliario.com/MLC-524431925-casa-en-venta-chicureo-centro-_JM#position=18&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Colina (chicureo): Chicureo Centro, Santiago","6.190","400 m²","133 m²","4","4","4","Descripción
			
			
			
	

	

	
	
		FPV3590  Casa con mucho potencial en condominio consolidado en pleno Chicureo centro, cercano a centros comerciales y auto pistas. Acceso controlado, frente a la plaza de juegos.    DISTRIBUCIÓN:  Hall de acceso con piso de cerámica, , living-comedor con piso flotante y salida a terraza.baño de visitas.  Cocina amplia y luminosa, muebles con cubiertas de granito, patio de servicio techado.    DORMITORIOS:  1er piso: escritorio o dormitorio  de guagua con piso flotante, dormitorio principal en suite con walk in closet, piso  alfombrado con salida al jardín..    2do piso: amplia sala de estar, espacio para escritorio, 2 dormitorios, 1 baño. todo con piso flotante.      Visitas coordinar con Macarena Grohnert cel: 976954644","UF","Santiago","Casas","Propiedades usadas","23-04-2020"
"1594168298-152","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 4.357","https://www.portalinmobiliario.com/MLC-524330609-casa-en-venta-los-condores-el-esfuerzo-_JM#position=23&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","El Bosque: Los Cóndores-el Esfuerzo, Santiago","4.357","320 m²","102 m²","3","3","1","Descripción
			
			
			
	

	

	
	
		Excelente propiedad en Calle Principal, 1 piso distribuida en:  1° piso: Living comedor juntos, pisos de parquet, ventanas de aluminio, cocina independiente con ceramica y dos entradas,  pasillo con hall de entrada, 3 dormitorios con clóset, baño completo, sala para ser utilizar como sala de estudio, cuarto de lavado, ante jardín, entrada de hasta 5 autos, patio grande, bodega construcción de 102mt2 y terreno aprox 320mt2. Intersecciones principales: Picton, Manantiales, cercana a parques, liceos, escuelas, estadio, supermercados, centros médicos,  Autopista Central a 5 minutos y Autopista Vespucio Sur a 6 min., Metro la Cisterna a 7min., entre otros. SE ACEPTAN OFERTAS  Franciska Garrido +569 64409770  Código FRF2261","UF","Santiago","Casas","Propiedades usadas","21-04-2020"
"1594168280-143","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.977","https://www.portalinmobiliario.com/MLC-522930961-casa-en-venta-villa-frei-_JM#position=32&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Ñuñoa: Villa Frei, Santiago","6.977","250 m²","90 m²","5","5","2","Descripción
			
			
			
	

	

	
	
		Cómoda casa en pasaje , orientación Norte, con excelente conectividad a pasos del Metro Los Orientales Linea 4 y nueva estación Villa Frei Linea 3  Se distribuye: Ante jardín, patio lateral, living comedor juntos, cocina independiente y salida a logia, 3 dormitorios, 1 baño completo, 1 dormitorio de servicio con baño en suite, 4 estacionamientos.  Verónica Guzmán  942329307","UF","Santiago","Casas","Propiedades usadas","30-03-2020"
"1594168344-174","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.000","https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5683844-metropolitana-region-santiago-uda#position=1&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Metropolitana Región Santiago, Centro Histórico De Santiago, Santiago","6.000","350 m²","140 m²","3","2","2","Descripción de la publicación
				
				
					El vendedor no incluyó una descripción del inmueble","UF","Santiago","...","...","5683844"
