web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href
"1594171444-688","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 200.000.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5461677-cercano-a-metros-escuela-militar-y-metro-colon-uda#position=20&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","200.000.000","135 m²","120 m²","4","3","2","Descripción
			
			
			
	

	

	
	
		OPORTUNIDAD. EXCELENTE DEPARTAMENTO, IDEAL PARA REMODELAR.
Departamento amplio y luminoso en segundo piso. 
3 Dormitorios ( principal en suite con walking closet ) y 2 baños más dormitorio y baño de servicio. Amplio living comedor, cocina separada con logia.
2 Estacionamientos en subterráneo.
1 Bodega en subterráneo.
Edificio de excelente calidad de construcción cuenta con salón de eventos, piscina y estacionamientos de visita.
Excelente barrio tranquilo cercano a principales avenidas Colón y Vespucio.

Terminaciones 
Piso baños: cerámica
Piso dormitorios: cerámica

Características comunidad 
accesos controlados, estacionamiento de visitas, piscina, portón eléctrico, sala de eventos

Gastos 
Gastos comunes: $ 150.000

Estacionamientos y bodegas 
 Estacionamientos: 2
Bodegas: 1","$","null","Departamentos","Propiedades usadas","05-03-2020","",""
"1594171449-690","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.600","https://www.portalinmobiliario.com/MLC-522359347-propiedad-en-manquehue-oportunidad-_JM#position=18&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.600","110 m²","95 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Excelente oportunidad en una de las mejores ubicaciones de Las Condes. Cercano a Metro Manquehue, colegios, áreas verdes, centro comercial. Amplio living comedor con rica terraza de vista despejada. Orientación Oriente. Cocina tradicional con loggia.
Ven","UF","null","Departamentos","Propiedades usadas","18-03-2020","",""
"1594171460-695","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5581539-las-condesmall-sport2-estacionamientos-uda#position=13&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.900","120 m²","115 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		-AMPLIO DEPARTAMENTO
-MUY LUMINOSO
-CON ASCENSOR
-HALL DE ENTRADA
-RECIBOS CON SALIDA A TERRAZA( CERRADA), AHORA SE UTILIZA COMO SALA DE ESTAR Y ESCRITORIO
-2 DORMITORIOS
-1 EN SUITE
-2 BAÑOS
-MÁS SERVICIOS COMPLETOS (DORMITORIO Y BAÑO)
-COCINA EQUIPADA, LOGGIA
-2 ESTACIONAMIENTOS (TANDEM)
-AMPLIA BODEGA
-EDIFICIO SOLO CUENTA CON ESTACIONAMIENTOS DE VISITAS
-CONSULTAS LLAMAR AL + 56 9 54003843

Características propiedad 
despensa, hall, loggia, cocina amoblada, cocina equipada

Características comunidad 
accesos controlados, estacionamiento de visitas

Gastos 
Gastos comunes: $ 180.000

Estacionamientos y bodegas 
 Estacionamientos: 2
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","28-04-2020","",""
"1594171462-696","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5593365-las-condesmall-sport2-estacionamientos-uda#position=12&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.900","120 m²","115 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		-AMPLIO DEPARTAMENTO
-MUY LUMINOSO
-CON ASCENSOR
-HALL DE ENTRADA
-RECIBOS CON SALIDA A TERRAZA( CERRADA), AHORA SE UTILIZA COMO SALA DE ESTAR Y ESCRITORIO
-2 DORMITORIOS
-1 EN SUITE
-2 BAÑOS
-MÁS SERVICIOS COMPLETOS (DORMITORIO Y BAÑO)
-COCINA EQUIPADA, LOGGIA
-2 ESTACIONAMIENTOS (TANDEM)
-AMPLIA BODEGA
-EDIFICIO SOLO CUENTA CON ESTACIONAMIENTOS DE VISITAS
-CONSULTAS LLAMAR AL + 56 9 54003843

Características propiedad 
despensa, hall, loggia, cocina amoblada, cocina equipada

Características comunidad 
accesos controlados, estacionamiento de visitas

Gastos 
Gastos comunes: $ 180.000

Estacionamientos y bodegas 
 Estacionamientos: 2
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","05-05-2020","",""
"1594171485-707","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5697045-san-cresente-100-uda#position=1&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","7.000","105 m²","90 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Departamento recién remodelado, ventanas de PVC termopanel, cocina, piso flotante y baño, buena terraza con jardineras, tiene persianas roller, es muy luminoso, 2 grandes dormitorios el tercero puede ser escritorio o sala de estar o dorm. con baño en suite.
Cada dpto. recibe por concepto de arriendo antena, el equivalente de las contribuciones anuales.
Mayor informacion via mail a felipe@dibasa.cl o cel 98 293 1219

Gastos 
Contribuciones: $ 150.000
Gastos comunes: $ 140.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","03-07-2020","",""
"1594171474-702","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5659107-vendo-departamento-remodelado-3-dormitorios-en-san-crescente-golf-sur-uda#position=6&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","7.000","102 m²","90 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Se Vende departamento de 3 dormitorios y 2 baños, cocina cerrada con loggia
Ventanas termopanel en todo el departamento, piso flotante y cocina remodelada
Calefacción losa radiante
Gastos Comunes $128.000 aprox.
Cuota Contribuciones $ 150.000.

Contactar :

Geraldine Lizama
+56 996 428 255
Infocasa circulo inmobiliario 360º

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","11-06-2020","",""
"1594171428-680","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5689558-robinson-crusoe-cristobal-colon-uda#position=28&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.900","108 m²","95 m²","3","2","2","Descripción
			
			
			
	

	

	
	
		VENDE DUEÑA!
El departamento cuenta con hall de entrada, living- Comedor con salida a terraza, cocina tradicional con comedor de diario y acceso a loggia, Dormitorio principal en suit, tiene salida a un balcón. Segundo dormitorio con capacidad para cama de 2 plazas, amplio closet y salida a balcón, tercer dormitorio con capacidad para cama de 2 plazas.
Orientación: Sur Poniente, dormitorios y cocina dan hacia el poniente y living-comedor da al sur.
Se encuentra en 8º piso con ascensor. Cuenta con 2 estacionamientos (Tándem).
Ubicado en edificio que cuenta con buen nivel de seguridad, accesos controlados 24 hrs. Sector residencial con acceso en su entorno inmediato a colegios, parques, supermercados, excelente conectividad.
Gastos Comunes: $100.000
Contribuciones: $120.000 ( trimestrale","UF","null","Departamentos","Propiedades usadas","30-06-2020","",""
"1594171466-698","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.600","https://www.portalinmobiliario.com/MLC-527160290-propiedad-en-manquehue-oportunidad-_JM#position=10&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.600","110 m²","95 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Excelente oportunidad en una de las mejores ubicaciones de Las Condes. Cercano a Metro Manquehue, colegios, áreas verdes, centro comercial. Amplio living comedor con rica terraza de vista despejada. Orientación Oriente. Cocina tradicional con loggia.
Ventanas Termo Panel.Tres dormitorios, principal en suite. Dos baños completos.UN ESTACIONAMIENTO y una bodega.
Lindo edificio con conserjería las 24 horas, estacionamientos de visitas, ascensores","UF","null","Departamentos","Propiedades usadas","15-05-2020","",""
"1594171451-691","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/MLC-522359348-propiedad-en-pontevedra-nor-oriente-_JM#position=17&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.900","120 m²","120 m²","4","5","3","Descripción
			
			
			
	

	

	
	
		Excelente departamento en  residencial ubicación de la comuna de Las Condes.
Hall de acceso, amplio living comedor con terraza incorporada. Cocina de buen  tamaño con loggia.
Tres dormitorios (principal en suite), dos baños completos, más dormitorio y b","UF","null","Departamentos","Propiedades usadas","18-03-2020","",""
"1594171438-685","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4669474-metro-colon-uda#position=23&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.900","108 m²","100 m²","3","3","1","Descripción
			
			
			
	

	

	
	
		EXCELENTE OPORTUNIDAD!!

Hermoso e iluminado departamento en barrio consolidado de Las Condes a solo 2 cuadras del Metro. 
El departamento se encuentra en un piso 18 con hermosa vista despejada, y su distribución es la siguiente:
Hall de entrada, Living y comedor amplio, terraza, cocina equipada y amoblada, loggia, 3 dormitorios (principal en suite), 3 baños, estacionamiento y bodega.
Piso flotante, calefacción central por losa radiante. 
Cercano a comercio, y excelente conectividad. 
Orientación Surponiente
Año de construcción 1996.

Conserjería las 24 horas del día y el condominio posee áreas verdes.

NO DEJE DE VISITAR!

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","20-02-2020","",""
