Unnamed: 0,PriceUnit,Price,item,link,fld0,fld1,fld2,fld3,fld4,fld5,Description,PropertyState,PublishedDate,Title,Section,Models
7495,UF,11.000,UF 11.000,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5748311-vespucio-nueva-costanera-uda#position=13&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
120 m²","Superficie útil
110 m²","Dormitorios
3","Baños
2","Estacionamientos
3",,"Descripción
Lindo y acogedor departamento en Vitacura.
Hall de entrada
Mampara que separa a living y dormitorios
3 dormitorios
Dormitorio principal en suite con baño y amplios closet
2 cómodos dormitorios, todos en piso flotante
Amplio Living comedor con terraza
3 estacionamientos
Bodega
Gasto común de $190.000 mas $25.000 aproximado de gas.
Calefacción central
El edificio cuenta con estacionamiento para visitas
Cercano a colegios, Saint George's, Colegio Santa Ursula, Alianza Francesa, autopista costanera sur, supermercados, borde río, nueva costanera, parque bicntenario.

CONTACTO
Celular y WhatsApp:
+56993473157
+56994815232
+56999549095


E-Mail:
propiedadeshv@hotmail.com
hectorvaldesl@hotmail.com
hvaldesle@gmail.com




Estacionamientos y bodegas
Estacionamientos: 3
Bodegas: 1",...,31-07-2020,"Vespucio / Nueva Costanera, Parque Bicentenario, Vitacura","Volver al listado
...
...
...
...
Vitacura
Parque Bicentenario
Compartir
Imprimir PDF",
7496,UF,12.500,UF 12.500,https://www.portalinmobiliario.com/MLC-539045354-impecable-departamento-venta-padre-damian-veuster-_JM#position=14&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
160 m²","Superficie útil
140 m²","Dormitorios
4","Ambientes
5","Baños
3","Estacionamientos
3","Descripción
DESCRIPCIÓN: Impecable departamento con amplio hall de entrada, living comedor con vista despejada al Oriente, terraza, cocina con isla equipada, 1 dormitorio de servicio, 1 baño de visita, 2 dormitorios de niños que comparten un baño, 1 dormitorio principalmente suite, 3 estacionamientos y 1 bodega. El condominio cuenta con piscina, gimnasio, área de niños y al frente una plaza para pasear u jugar, a pasos de colegio Manquehue.",...,31-07-2020,"Impecable Departamento Venta, Padre Damian Veuster, Estadio Croata, Vitacura","Volver al listado
...
...
...
RM (Metropolitana)
Vitacura
Estadio Croata
Compartir
Imprimir PDF",
7497,UF,7.800,UF 7.800,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5748214-san-damian-av-las-condes-uda#position=15&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
84 m²","Superficie útil
76 m²","Dormitorios
2","Baños
2","Estacionamientos
1",,"Descripción
PROPIEDADES NV VENDE

Espectacular, lujoso y exclusivo departamento del año 2017 en ubicación privilegiada, comuna de Vitacura, calle San Damián. El departamento de 76 metros cuadrados útiles más 8 metros cuadrados de terraza cuenta con dos dormitorios, dos baños, cocina isla, amoblada y equipada con lavavajilla incorporado, horno, microonda, refrigerador incorporado, habitáculo separado para lavadora, piso porcelanato, ventanales termo-panel, orientación sur, tiene un estacionamiento y una bodega.
El edificio es exclusivo, con un total de 51 departamentos, dos ascensores, piscina en último piso, con vista panorámica, gimnasio, sala multiuso con jardín y áreas verdes.
Excelente ubicación, cerca de colegios, seguridad, bancos, supermercados, clínica las condes, farmacias, centros comerciales y malls, a pasos de Costanera Norte y nuevo parque Costanera Sur.
Gasto Común: $ 150.000
Contribuciones: $ 151.000
Valor de Venta: U.F.7.800
Ejecutivo: Daniela De Mizrahi cel +569 96334222


Estacionamientos y bodegas
Estacionamientos: 1
Bodegas: 1",...,30-07-2020,"San Damian / Av. Las Condes, Tabancura, Vitacura","Volver al listado
...
...
...
RM (Metropolitana)
Vitacura
Tabancura
Compartir
Imprimir PDF",
7498,UF,11.200,UF 11.200,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5748122-el-arcangel-pedro-canisio-uda#position=16&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
140 m²","Superficie útil
128 m²","Dormitorios
3","Baños
4","Estacionamientos
2",,"Descripción
Estupendo edificio emplazado en privilegiada y residencial ubicación de la comuna de vitacura, cercano a bancos, colegios, farmacias, supermercados, a dos cuadras de pasarela de Avda. Kennedy hacia Mall Parque Arauco y Parque Araucano - Nueva Las Condes.

Edificio cuenta con gimnasio, sala de eventos, piscina, Sala de juegos para niños.
Departamento de 3 dormitorios, el principal en suite, baño de visitas, amplia cocina cubierta de granitos, loggia, dos dormitorios, una bodega.

Estacionamientos y bodegas
Estacionamientos: 2
Bodegas: 1",...,30-07-2020,"El Arcangel / Pedro Canisio, Estadio Manquehue, Vitacura","Volver al listado
...
...
...
...
Vitacura
Estadio Manquehue
Compartir
Imprimir PDF",
7499,UF,13.700,UF 13.700,https://www.portalinmobiliario.com/MLC-539035036-departamento-en-venta-de-3-dorm-en-vitacura-_JM#position=17&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
147 m²","Superficie útil
128 m²","Dormitorios
3","Ambientes
3","Baños
3",,"Descripción
Departamento en venta con estratégica ubicación en pleno sector de Alonso de Cordova. A pocos pasos de restaurantes, tiendas, galerías y parques.

Hall de entrada, , con living comedor a la izquierda y la zona de dormitorios a la derecha, y también el baño de visitas.

Living y comedor, unidos y una amplia y luminosa terraza con vista despejada.

La cocina es amoblada y equipada, cuenta con mesón central y logia incorporada.

Dos dormitorios que comparten un baño y dormitorio principal en suite con terraza.

Terminaciones
Piso baños: porcelanato
Piso dormitorios: madera

El edificio duenta con sala multiuso, quincho, piscina, gimnasio y seguridad 24/7.


Para mayor información contactar a Loreto Lecaros al +56 9 84190078 o a loretolecaros@romopropiedades.cl",Propiedades usadas,30-07-2020,"Alonso De Cordova / El Clonqui, Vitacura","Volver al listado
...
Venta
Propiedades usadas
RM (Metropolitana)
Vitacura
Compartir
Imprimir PDF",
7500,UF,16.300,UF 16.300,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5748049-excelente-depto-en-luis-carrera-2-estacionamientos-y-2-bodegas-con-piscina-uda#position=18&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
198 m²","Superficie útil
167 m²","Dormitorios
4","Baños
5","Estacionamientos
2","Gastos comunes
290000 CLP","Descripción
Excelente departamento y en excelente ubicación y estado! Muy bien mantenido.
Orientación Nor-oriente, con piscina, cerca de colegios, gimnasio, carreteras y comercios.

Hall de entrada, baño de visita, cocina con comedor de diario y espacio para refrigerador 2 puertas, loggia techada y con ventanas.
Living comedor amplio y sala de estar con terraza.
3 dormitorios, siendo 2 en suite más un escritorio con su baño o pieza de servicio.
En total el departamento tiene 5 baños: visita, en escritorio o pieza de servicio, dormitorio principal, segundo dormitorio y al lado de sala de estar.
Dormitorio principal con varios closets.

Edificio cuenta con seguridad 24/7 y cámaras, además de un living en el primer piso al lado de la piscina y jardín.
2 estacionamientos y 2 bodegas.
Gastos comunes promedio $290.000 a $300.000 y cuota contribuciones $360.000 (4 meses).-

Una excelente oportunidad de vivienda, agende su visita!

Características propiedad
comedor de diario, loggia, sala de estar

Características comunidad
accesos controlados, áreas verdes, citófono, piscina

Gastos
Contribuciones: $ 360.000
Gastos comunes: $ 290.000

Estacionamientos y bodegas
Estacionamientos: 2
Bodegas: 2",...,30-07-2020,"Excelente Depto En Luis Carrera / 2 Estacionamientos Y 2 Bodegas / Con Piscina, Jardín Del Este, Vitacura","Volver al listado
...
...
...
RM (Metropolitana)
Vitacura
Jardín Del Este
Compartir
Imprimir PDF",
7501,UF,10.700,UF 10.700,https://www.portalinmobiliario.com/MLC-539033987-departamento-en-venta-de-3-dormitorios-en-vitacura-_JM#position=19&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
128 m²","Superficie útil
113 m²","Dormitorios
3","Ambientes
3","Baños
3",,"Descripción
Excelente ubicación y conectividad. Calle tranquila, a metros del Alto Las Condes . Edificio de finas terminaciones y amplias áreas comunes.
Hall de acceso, recibos separados de muy buen tamaño y luminosos. Dormitorio principal en suite con w/closet; otro dormitorio de buen tamaño y un baño completo. El tercer dormitorio, buen tamaño, puede ser de servicio, con su baño incorporado y acceso central. Cocina con comedor de diario, cubiertas en granito. Logia con lavadero y mueble. Departamento con amplia terraza y ventanales con sus persianas roler. Un estacionamiento y una bodega. El edificio cuenta con 2 amplios lobys de recepción, y conserjes las 24 horas del día. Cámaras de seguridad y cerco eléctrico. Piscina temperada, sauna, dos lindos salones de reuniones, gimnasio, sala de juegos y lavandería.Sala de cine. Amplio jardín. Estacionamientos de visitas interiores.",...,30-07-2020,"Padre Hurtado / Lo Matta, La Llavería, Vitacura","Volver al listado
...
...
...
RM (Metropolitana)
Vitacura
La Llavería
Compartir
Imprimir PDF",
7502,UF,14.900,UF 14.900,https://www.portalinmobiliario.com/MLC-539033976-departamento-en-venta-de-2-dormitorios-en-vitacura-_JM#position=20&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
159 m²","Superficie útil
138 m²","Dormitorios
2","Ambientes
2","Baños
2",,"Descripción
Pleno Sector Gran Vía, lujoso departamento estilo contemporáneo en condominio, preciosa vista privilegiada, frente a acceso costanera norte, moderna arquitectura y finas terminaciones.
Distribución: hall de acceso ,Luminosa suite principal con walk in closet , segundo dormitorio cuenta con walk in closet, baño por separado y terraza independiente.linda cocina amoblada e integrada a amplios recibos con pisos de porcelanato,todo con salida a la terraza,logia.
El departamento cuenta con dos estacionamientos y bodega, aire acondicionado, todas los ventanales termopanel,ademas de caldera independiente.
El edificio tiene Piscina, lounge, gimnasio, cuenta con seguridad las 24 horas del día.",...,30-07-2020,"Entre Puente Tabancura Y Rotonda Lo Curro, Tabancura, Vitacura","Volver al listado
...
...
...
RM (Metropolitana)
Vitacura
Tabancura
Compartir
Imprimir PDF",
7503,UF,18.665,UF 18.665,https://www.portalinmobiliario.com/MLC-539033738-departamento-en-venta-de-2-dormitorios-en-vitacura-_JM#position=21&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
183 m²","Superficie útil
154 m²","Dormitorios
2","Ambientes
2","Baños
2",,"Descripción
Parque Arboleda Lo Curro es un proyecto con una arquitectura única y sofisticada proyectado y diseñado por la destacada oficina de arquitectura Izquierdo Lehmann. El proyecto está emplazado en un terreno de más de 4 hectáreas, generando un espacio central que alberga un gran parque desarrollado por el destacado paisajista Juan Grimm. Todo esto complementado por un concept design y diseño interior desarrollado por Enrique Concha & Co. Cada hall de acceso contempla solo 2 departamentos por piso, logrando tranquilidad y privacidad. En su interior, departamentos de 2, 3 y 4 dormitorios más servicio, que ofrecen detalles únicos, terminaciones de alta calidad, y una orientación que privilegia la vista al parque central del Condominio. El rol preponderante del parque y el diseño sofisticado pero a la vez elegante de cada residencia, reflejan la preocupación de Izquierdo Lehmann Arquitectos por lograr espacios que realmente realcen la experiencia de vida de los residentes de este exclusivo proyecto",...,30-07-2020,"Via Aurora, Tabancura, Vitacura","Volver al listado
...
...
...
RM (Metropolitana)
Vitacura
Tabancura
Compartir
Imprimir PDF",
7504,UF,18.230,UF 18.230,https://www.portalinmobiliario.com/MLC-539033750-departamento-en-venta-de-3-dormitorios-en-vitacura-_JM#position=22&type=item&tracking_id=9403f889-e462-44ee-bcd8-a38d8f4cc2d4,"Superficie total
220 m²","Superficie útil
180 m²","Dormitorios
3","Ambientes
3","Baños
3",,"Descripción
Parque Arboleda Lo Curro es un proyecto con una arquitectura única y sofisticada proyectado y diseñado por la destacada oficina de arquitectura Izquierdo Lehmann. El proyecto está emplazado en un terreno de más de 4 hectáreas, generando un espacio central que alberga un gran parque desarrollado por el destacado paisajista Juan Grimm. Todo esto complementado por un concept design y diseño interior desarrollado por Enrique Concha & Co. Cada hall de acceso contempla solo 2 departamentos por piso, logrando tranquilidad y privacidad. En su interior, departamentos de 2, 3 y 4 dormitorios más servicio, que ofrecen detalles únicos, terminaciones de alta calidad, y una orientación que privilegia la vista al parque central del Condominio. El rol preponderante del parque y el diseño sofisticado pero a la vez elegante de cada residencia, reflejan la preocupación de Izquierdo Lehmann Arquitectos por lograr espacios que realmente realcen la experiencia de vida de los residentes de este exclusivo proyecto",Propiedades usadas,30-07-2020,"Via Aurora, Vitacura","Volver al listado
...
Venta
Propiedades usadas
RM (Metropolitana)
Vitacura
Compartir
Imprimir PDF",
